epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.657,2.54775,3.46448,3.09352,0.81783,0.6492,0.72707,0.34177,1.89858,1.41892,2.31068,0.000665158,0.000665158,0.000665158
2,300.205,1.58615,1.28166,1.87216,0.91684,0.76343,0.85369,0.50151,1.50665,1.08779,1.8003,0.00119997,0.00119997,0.00119997
3,440.306,1.41509,0.98716,1.65229,0.91848,0.7795,0.87484,0.53671,1.39884,0.93969,1.67197,0.00160279,0.00160279,0.00160279
4,584.783,1.36326,0.85883,1.5815,0.90509,0.83736,0.89393,0.5539,1.35984,0.85116,1.61546,0.001406,0.001406,0.001406
5,727.381,1.31198,0.79353,1.52348,0.92286,0.83098,0.90476,0.58002,1.30699,0.80377,1.57717,0.001208,0.001208,0.001208
6,870.031,1.27248,0.75,1.48289,0.92807,0.84829,0.90736,0.58859,1.28818,0.79997,1.52476,0.00101,0.00101,0.00101
7,1013.31,1.24533,0.70916,1.45473,0.95422,0.87372,0.92612,0.61479,1.25572,0.69678,1.49236,0.000812,0.000812,0.000812
8,1155.27,1.22091,0.66523,1.4271,0.93951,0.882,0.92817,0.61445,1.23364,0.68673,1.49106,0.000614,0.000614,0.000614
9,1296.39,1.1943,0.62521,1.40302,0.9694,0.88292,0.93265,0.62629,1.20192,0.63632,1.44144,0.000416,0.000416,0.000416
10,1438.06,1.17099,0.59538,1.37519,0.96978,0.89176,0.93882,0.63882,1.18934,0.60577,1.42581,0.000218,0.000218,0.000218
